Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
EFHD2	1.022	0.031	4.471E-01	EF hand domain containing 2
DKKL1	1.022	0.031	3.373E-06	
NDUFC2	1.022	0.031	9.458E-01	Transcribed locus, moderately similar to NP_077182.1 dehydrogenase (ubiquinone) 1, subcomplex unkno
1700020O03RIK	1.022	0.031	6.623E-01	
RAMP2	1.021	0.031	9.731E-01	
9130404D08RIK	1.021	0.031	8.676E-01	
NAP1L5	1.021	0.031	9.487E-01	
SH3MD4	1.021	0.031	1.087E-02	
SLC30A3	1.021	0.031	8.599E-04	Solute carrier family 30 (zinc transporter), member 3
SPAG9	1.021	0.031	9.243E-01	Sperm associated antigen 9
SLC24A4	1.021	0.031	1.540E-03	
A730042J05RIK	1.021	0.03	5.598E-01	
ASB3	1.021	0.03	9.119E-01	Transcribed locus
TUSC2	1.021	0.03	9.535E-01	Tumor suppressor candidate 2
DAPK3	1.021	0.03	3.133E-01	Death-associated kinase 3
UBE2Q1	1.021	0.03	8.881E-01	
PPP3CC	1.021	0.03	9.543E-01	
ZDHHC17	1.021	0.03	9.617E-01	Transcribed locus
IL10RB	1.021	0.029	9.606E-01	Interleukin 10 receptor, beta
OLFR985	1.021	0.029	4.514E-01	Olfactory receptor 985
NDUFA8	1.021	0.029	9.316E-01	
DDX49	1.02	0.029	9.038E-01	
2610020C11RIK	1.02	0.029	9.417E-01	
ZNHIT2	1.02	0.029	9.638E-01	Zinc finger, HIT domain containing 2
CYP4F15	1.02	0.029	2.792E-03	Cytochrome P450, family 4, subfamily f, polypeptide 15
C030045D06RIK	1.02	0.029	3.675E-01	
ICA1L	1.02	0.029	8.828E-01	Islet cell autoantigen 1-like
ENAM	1.02	0.029	4.347E-01	Enamelin
2410022L05RIK	1.02	0.029	9.324E-01	
KLC4	1.02	0.029	9.230E-01	Kinesin light chain 4
MCFD2	1.02	0.029	9.404E-01	Transcribed locus
D10ERTD641E	1.02	0.028	9.230E-01	
LAGE3	1.02	0.028	9.543E-01	L antigen family, member 3
DPP9	1.02	0.028	9.639E-01	Transcribed locus
VAMP5	1.02	0.028	6.101E-01	Transcribed locus
9130404D14RIK	1.02	0.028	9.689E-01	
MGAT4B	1.019	0.028	9.698E-01	
ESRRB	1.019	0.028	8.869E-01	Estrogen related receptor, beta
C85492	1.019	0.027	9.417E-01	
1110018G07RIK	1.019	0.027	8.875E-01	
CORT	1.019	0.027	3.550E-04	
EXO1	1.019	0.027	4.756E-01	Exonuclease 1
CACNA1A	1.019	0.027	9.729E-01	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
ZMYND11	1.019	0.027	9.355E-01	Zinc finger, MYND domain containing 11
LOH12CR1	1.019	0.027	8.210E-01	Transcribed locus
LOC100048816	1.019	0.027	1.373E-01	
9030418K01RIK	1.019	0.027	4.414E-01	
SRGAP3	1.019	0.027	4.167E-01	SLIT-ROBO Rho GTPase activating protein 3
CDC25B	1.019	0.027	5.033E-03	
NME2	1.019	0.027	9.639E-01	Predicted gene, EG433968
BMS1	1.019	0.027	7.406E-01	BMS1 homolog, ribosome assembly protein (yeast)
SMOC1	1.019	0.026	5.113E-01	SPARC related modular calcium binding 1
SLC7A7	1.019	0.026	9.698E-01	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
LOC100047934	1.018	0.026	9.691E-01	
TBC1D5	1.018	0.026	9.665E-01	TBC1 domain family, member 5
IFRD1	1.018	0.026	4.907E-01	Interferon-related developmental regulator 1
DCTN2	1.018	0.026	8.879E-01	Dynactin 2
AU040829	1.018	0.026	9.208E-01	
EIF2B5	1.018	0.026	9.356E-01	Eukaryotic translation initiation factor 2B, subunit 5 epsilon
IL12A	1.018	0.026	2.241E-04	
TNFRSF1A	1.018	0.026	9.302E-01	Tumor necrosis factor receptor superfamily, member 1a
MRPS22	1.018	0.026	9.496E-01	Transcribed locus
PSAT1	1.018	0.026	9.397E-01	Phosphoserine aminotransferase 1
LCA5	1.018	0.026	9.574E-01	Leber congenital amaurosis 5 (human)
FVT1	1.018	0.026	5.285E-01	
GPS1	1.018	0.026	9.158E-01	
DIDO1	1.018	0.026	9.398E-01	Death inducer-obliterator 1
ALDH5A1	1.018	0.026	9.606E-01	Aldhehyde dehydrogenase family 5, subfamily A1
PDLIM5	1.018	0.026	9.775E-01	PDZ and LIM domain 5
KHDRBS1	1.018	0.026	9.721E-01	
CAR7	1.018	0.026	9.219E-03	Carbonic anhydrase 7
WWP1	1.018	0.026	4.835E-01	Transcribed locus
CXCR5	1.018	0.026	9.392E-01	Burkitt lymphoma receptor 1
LOC100045491	1.018	0.026	8.536E-01	
DNAJC12	1.018	0.026	9.654E-01	Transcribed locus
TOMM7	1.018	0.026	9.360E-01	
PRKAG1	1.018	0.025	9.569E-01	Transcribed locus
STX12	1.018	0.025	9.698E-01	Syntaxin 12
LGI2	1.018	0.025	5.155E-03	Leucine-rich repeat LGI family, member 2
TXNRD3	1.018	0.025	7.547E-01	Thioredoxin reductase 3
EIF4A2	1.018	0.025	8.754E-01	Eukaryotic translation initiation factor 4A2
RNASEH1	1.018	0.025	9.550E-01	
OGFOD2	1.018	0.025	8.358E-01	
ADCY4	1.017	0.025	9.541E-01	
GPR103	1.017	0.025	1.842E-04	
AHSA1	1.017	0.025	9.762E-01	
PIGX	1.017	0.025	9.386E-01	
RANBP3L	1.017	0.025	9.278E-01	
CUX1	1.017	0.025	9.777E-01	Transcribed locus
GM94	1.017	0.025	4.663E-01	
LOC433886	1.017	0.025	7.755E-01	
LOC100044322	1.017	0.024	9.360E-01	
GFM1	1.017	0.024	4.991E-01	G elongation factor, mitochondrial 1
JAZF1	1.017	0.024	3.181E-01	Transcribed locus
P140	1.017	0.024	9.796E-01	
RPL24	1.017	0.024	9.441E-01	Predicted gene, EG664869
OSCAR	1.017	0.024	9.189E-02	Osteoclast associated receptor
KCNH2	1.017	0.024	9.731E-01	Potassium voltage-gated channel, subfamily H (eag-related), member 2
CTSR	1.017	0.024	5.407E-01	Cathepsin R
CDIPT	1.017	0.024	8.981E-01	
D630042P16RIK	1.017	0.024	5.341E-01	
RAB5C	1.017	0.024	9.380E-01	RAB5C, member RAS oncogene family
ZCRB1	1.017	0.024	9.616E-01	Transcribed locus, strongly similar to XP_001083900.1 similar to zinc finger CCHC-type and RNA bind
FAHD1	1.017	0.024	9.731E-01	Fumarylacetoacetate hydrolase domain containing 1
MRPL22	1.017	0.024	9.632E-01	Transcribed locus
CLPTM1L	1.017	0.024	9.303E-01	CLPTM1-like
P4HA2	1.017	0.024	2.507E-02	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide
ECM1	1.017	0.024	9.639E-01	Extracellular matrix protein 1
DYRK3	1.017	0.024	5.432E-02	
VPS53	1.017	0.024	8.395E-01	Vacuolar protein sorting 53 (yeast)
NXF7	1.017	0.024	6.898E-08	Nuclear RNA export factor 7
GNG2	1.016	0.024	9.283E-01	Transcribed locus
USP2	1.016	0.024	9.065E-01	Ubiquitin specific peptidase 2
SERPINA3C	1.016	0.024	5.284E-01	Serine (or cysteine) peptidase inhibitor, clade A, member 3C
CC2D1A	1.016	0.024	9.450E-01	Coiled-coil and C2 domain containing 1A
FGFBP3	1.016	0.023	9.510E-01	Transcribed locus
MEP1A	1.016	0.023	5.567E-01	Meprin 1 alpha
TREX1	1.016	0.023	9.646E-01	Transcribed locus, weakly similar to XP_001375011.1 similar to 3-5 exonuclease TREX1 [Monodelphis d
OLFR1507	1.016	0.023	4.825E-01	Olfactory receptor 1507
LOC100045419	1.016	0.023	4.139E-01	
BCCIP	1.016	0.023	9.078E-01	BRCA2 and CDKN1A interacting protein
ATP2B4	1.016	0.023	2.129E-01	ATPase, Ca++ transporting, plasma membrane 4
2210021J22RIK	1.016	0.023	3.593E-01	
9630028B13Rik	1.016	0.023	6.099E-01	
ARRDC1	1.016	0.023	5.961E-01	Arrestin domain containing 1
AP3S2	1.016	0.023	8.546E-01	Adaptor-related protein complex 3, sigma 2 subunit
C78339	1.016	0.023	1.695E-01	Transcribed locus
DHDDS	1.016	0.023	9.199E-01	Transcribed locus
DIS3L2	1.016	0.023	9.668E-01	
AA881470	1.016	0.023	9.271E-01	
PLA2G12A	1.016	0.022	9.643E-01	Phospholipase A2, group XIIA
D030028O16RIK	1.016	0.022	9.763E-01	
DGKH	1.016	0.022	5.224E-01	
ABI3BP	1.016	0.022	1.096E-03	ABI gene family, member 3 (NESH) binding protein
GABRA3	1.016	0.022	4.570E-08	Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 3
RTEL1	1.016	0.022	9.734E-01	
ADIPOR1	1.015	0.022	9.458E-01	Adiponectin receptor 1
OVOL2	1.015	0.022	2.741E-04	Ovo-like 2 (Drosophila)
SIAH1A	1.015	0.022	9.672E-01	Seven in absentia 1A
P2RY1	1.015	0.022	9.408E-01	Purinergic receptor P2Y, G-protein coupled 1
BTF3	1.015	0.022	9.501E-01	
DOK1	1.015	0.022	6.684E-01	
CNIH4	1.015	0.022	9.250E-01	Cornichon homolog 4 (Drosophila)
DIRAS1	1.015	0.022	9.547E-01	DIRAS family, GTP-binding RAS-like 1
LOC100047800	1.015	0.022	9.333E-01	
C130038G02RIK	1.015	0.021	9.217E-01	
ARL9	1.015	0.021	9.263E-01	
TUBD1	1.015	0.021	7.309E-01	Tubulin, delta 1
TTC26	1.015	0.021	9.411E-01	
2310057J16RIK	1.015	0.021	9.346E-02	
BRSK1	1.015	0.021	1.655E-02	BR serine/threonine kinase 1
9630020C08RIK	1.015	0.021	7.882E-01	
DAPK2	1.015	0.021	7.383E-01	Death-associated kinase 2
TPD52	1.015	0.021	9.290E-01	Transcribed locus
HTATIP	1.015	0.021	9.774E-01	
CBLN2	1.014	0.021	6.226E-02	Cerebellin 2 precursor protein
TSSK6	1.014	0.021	6.502E-01	Testis-specific serine kinase 6
TNFAIP8	1.014	0.021	9.761E-01	Transcribed locus
MOCOS	1.014	0.021	3.207E-01	Molybdenum cofactor sulfurase
HS2ST1	1.014	0.021	9.649E-01	Heparan sulfate 2-O-sulfotransferase 1
3010026O09RIK	1.014	0.021	9.459E-01	Transcribed locus
BC048546	1.014	0.021	3.771E-03	CDNA sequence BC048546
KRT74	1.014	0.021	5.427E-01	keratin 74
AEBP2	1.014	0.02	9.044E-01	Transcribed locus
6430537H07RIK	1.014	0.02	8.121E-01	
ITPR2	1.014	0.02	9.731E-01	Transcribed locus
OLFR714	1.014	0.02	3.566E-01	Olfactory receptor 714
OTTMUSG00000000421	1.014	0.02	8.504E-01	
NECAB3	1.014	0.02	3.271E-04	Amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein
VPS54	1.014	0.02	9.638E-01	Vacuolar protein sorting 54 (yeast)
LOC545056	1.014	0.02	9.189E-01	
OLFR372	1.014	0.02	5.605E-01	Olfactory receptor 372
ERCC3	1.014	0.02	9.453E-01	
ROD1	1.014	0.02	7.143E-01	
RILPL2	1.014	0.02	8.973E-01	
SCUBE1	1.014	0.02	7.814E-06	Signal peptide, CUB domain, EGF-like 1
HINT3	1.014	0.02	9.796E-01	
BC023814	1.014	0.02	7.605E-01	
WDR13	1.014	0.02	9.698E-01	WD repeat domain 13
UNC84B	1.014	0.019	9.238E-01	
ARHGAP4	1.014	0.019	9.662E-01	
PXT1	1.014	0.019	9.499E-01	Peroxisomal, testis specific 1
ATP6V1A	1.013	0.019	9.781E-01	ATPase, H+ transporting, lysosomal V1 subunit A
ERO1LB	1.013	0.019	8.867E-01	ERO1-like beta (S. cerevisiae)
PTPLAD1	1.013	0.019	9.349E-01	Protein tyrosine phosphatase-like A domain containing 1
MAPK10	1.013	0.019	8.949E-03	Mitogen activated protein kinase 10
ZFP641	1.013	0.019	9.130E-02	Zinc finger protein 641
EG232599	1.013	0.019	1.361E-02	
SMPD1	1.013	0.019	9.477E-01	Sphingomyelin phosphodiesterase 1, acid lysosomal
RPS13	1.013	0.019	9.458E-01	Predicted gene, EG628061
HOXA13	1.013	0.019	7.068E-01	Homeo box A13
SLC26A8	1.013	0.019	3.799E-03	solute carrier family 26 (anion exchanger), member 8
FGFRL1	1.013	0.019	8.457E-01	Fibroblast growth factor receptor-like 1
SCAMP3	1.013	0.019	7.146E-01	Secretory carrier membrane protein 3
CHST7	1.013	0.019	9.788E-01	Carbohydrate (N-acetylglucosamino) sulfotransferase 7
ATG9B	1.013	0.019	7.972E-01	ATG9 autophagy related 9 homolog B (S. cerevisiae)
CD200	1.013	0.019	2.885E-03	Cd200 antigen
EMCN	1.013	0.018	9.563E-01	Transcribed locus
EG208426	1.013	0.018	5.316E-04	
V1RA2	1.013	0.018	7.205E-01	
TRPM4	1.013	0.018	1.280E-04	Transient receptor potential cation channel, subfamily M, member 4
CRISP1	1.013	0.018	6.540E-01	Cysteine-rich secretory protein 1
GPRK6	1.013	0.018	1.697E-02	
MRPS27	1.012	0.018	3.005E-01	
LOC100044160	1.012	0.018	2.923E-01	
BAT2	1.012	0.018	9.786E-01	
9330186A19RIK	1.012	0.018	9.457E-01	
MICAL1	1.012	0.018	6.589E-01	
LHX9	1.012	0.018	6.799E-01	LIM homeobox protein 9
BC049806	1.012	0.018	9.221E-01	
PSENEN	1.012	0.018	9.744E-01	
1810048J11RIK	1.012	0.018	9.835E-01	
GFPT2	1.012	0.018	1.136E-03	Glutamine fructose-6-phosphate transaminase 2
LYPLAL1	1.012	0.018	8.125E-01	Lysophospholipase-like 1
EEF1E1	1.012	0.018	9.390E-01	Transcribed locus
INPP4A	1.012	0.017	6.668E-01	Inositol polyphosphate-4-phosphatase, type I
PLCZ1	1.012	0.017	5.495E-01	Phospholipase C, zeta 1
ROGDI	1.012	0.017	9.777E-01	Rogdi homolog (Drosophila)
LAMC2	1.012	0.017	6.436E-09	Laminin, gamma 2
PRRG2	1.012	0.017	9.265E-01	Proline-rich Gla (G-carboxyglutamic acid) polypeptide 2
CLN8	1.012	0.017	5.349E-01	Ceroid-lipofuscinosis, neuronal 8
MORC2A	1.012	0.017	9.639E-01	Microrchidia 2A
D4WSU114E	1.012	0.017	9.801E-01	
AW061290	1.012	0.017	7.757E-01	
GSTA3	1.012	0.017	9.786E-01	Transcribed locus, moderately similar to XP_001108008.1 glutathione S-transferase A1 [Macaca mulatt
FH1	1.012	0.017	9.734E-01	Fumarate hydratase 1
2410002O22RIK	1.012	0.017	9.634E-01	
TARSL2	1.012	0.017	1.385E-01	TM2 domain containing 3
COPE	1.012	0.017	9.242E-01	
AQP11	1.012	0.017	3.259E-01	Aquaporin 11
EVX2	1.012	0.017	5.368E-01	Even skipped homeotic gene 2 homolog
TTC35	1.012	0.017	9.571E-01	
SOD2	1.012	0.017	9.787E-01	Superoxide dismutase 2, mitochondrial
COL15A1	1.012	0.017	9.578E-01	Collagen, type XV
COQ4	1.012	0.017	5.087E-01	
NCAPH2	1.012	0.017	9.458E-01	Non-SMC condensin II complex, subunit H2
IL23A	1.012	0.017	4.710E-01	
TTN	1.012	0.017	9.901E-01	Titin
SEC14L3	1.012	0.017	6.092E-01	
LOC100047353	1.012	0.017	9.864E-01	
SMCR7	1.011	0.016	8.896E-01	
GHR	1.011	0.016	9.715E-01	Growth hormone receptor
LRRC4C	1.011	0.016	5.366E-01	Leucine rich repeat containing 4C
9630031F12RIK	1.011	0.016	9.830E-01	
GNG4	1.011	0.016	1.657E-02	Guanine nucleotide binding protein (G protein), gamma 4 subunit
MAGEB2	1.011	0.016	5.458E-01	
BC060267	1.011	0.016	5.822E-01	
PRKAB2	1.011	0.016	5.160E-02	Protein kinase, AMP-activated, beta 2 non-catalytic subunit
PPFIBP1	1.011	0.016	4.682E-05	Transcribed locus
ABCA3	1.011	0.016	9.495E-01	ATP-binding cassette, sub-family A (ABC1), member 3
4921510H08RIK	1.011	0.016	5.551E-01	
HRASLS	1.011	0.016	5.651E-02	HRAS-like suppressor
TLN1	1.011	0.016	5.019E-01	Talin 1
CCNO	1.011	0.016	5.867E-01	
OLFR1324	1.011	0.016	3.886E-01	Olfactory receptor 1324
2610034M16RIK	1.011	0.016	1.286E-05	RIKEN cDNA 2610034M16 gene
A630042L21RIK	1.011	0.016	9.672E-01	
TRERF1	1.011	0.016	9.806E-04	Transcriptional regulating factor 1
PAPD4	1.011	0.016	2.246E-01	
ASPRV1	1.011	0.016	8.772E-01	Aspartic peptidase, retroviral-like 1
AVPI1	1.011	0.016	6.369E-01	Arginine vasopressin-induced 1
EIF2S3Y	1.011	0.016	9.711E-01	Eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked
PCBP1	1.011	0.016	9.698E-01	Poly(rC) binding protein 1
A130090K04RIK	1.011	0.016	6.099E-01	
H2-M3	1.011	0.016	9.800E-01	Histocompatibility 2, M region locus 3
BMPER	1.011	0.016	5.450E-02	BMP-binding endothelial regulator
CHIA	1.011	0.016	1.246E-01	chitinase, acidic
COX6B1	1.011	0.016	9.787E-01	
OXGR1	1.011	0.016	5.341E-01	Oxoglutarate (alpha-ketoglutarate) receptor 1
TMEM55A	1.011	0.015	9.708E-01	Transmembrane protein 55A
SMARCB1	1.011	0.015	9.832E-01	
COMMD3	1.011	0.015	9.450E-01	Transcribed locus
RAB5B	1.011	0.015	9.588E-01	RAB5B, member RAS oncogene family
CARTPT	1.011	0.015	2.964E-03	Transcribed locus
CDH16	1.011	0.015	6.373E-01	Cadherin 16
NLE1	1.011	0.015	9.797E-01	Notchless homolog 1 (Drosophila)
FBXL5	1.011	0.015	9.201E-01	F-box and leucine-rich repeat protein 5
GRM7	1.011	0.015	1.040E-04	Glutamate receptor, metabotropic 7
FCHSD2	1.011	0.015	9.706E-01	FCH and double SH3 domains 2
PRDX3	1.011	0.015	9.859E-01	Peroxiredoxin 3
TRH	1.011	0.015	4.522E-04	Thyrotropin releasing hormone
MAP3K9	1.01	0.015	1.788E-02	Mitogen-activated protein kinase kinase kinase 9
PRDX1	1.01	0.015	9.706E-01	Transcribed locus
S100A6	1.01	0.015	7.397E-01	
REXO1	1.01	0.015	9.885E-01	REX1, RNA exonuclease 1 homolog (S. cerevisiae)
NENF	1.01	0.015	9.789E-01	
SLC44A2	1.01	0.015	9.446E-01	
DIRC2	1.01	0.015	6.652E-01	Disrupted in renal carcinoma 2 (human)
DDX19B	1.01	0.015	9.794E-01	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b
ECEL1	1.01	0.015	1.535E-03	Endothelin converting enzyme-like 1
ANKMY2	1.01	0.015	9.605E-01	Transcribed locus
GADD45B	1.01	0.015	7.025E-02	Growth arrest and DNA-damage-inducible 45 beta
USP21	1.01	0.014	9.786E-01	Ubiquitin specific peptidase 21
RRP1	1.01	0.014	9.517E-01	Ribosomal RNA processing 1 homolog (S. cerevisiae)
TMEM141	1.01	0.014	9.735E-01	
KLF10	1.01	0.014	7.397E-01	
1300014I06RIK	1.01	0.014	4.808E-01	
GFRA4	1.01	0.014	9.141E-02	
4930455C21RIK	1.01	0.014	8.377E-01	
ANKRD27	1.01	0.014	7.428E-04	
NOC3L	1.01	0.014	8.480E-02	Nucleolar complex associated 3 homolog (S. cerevisiae)
ATP6V1G1	1.01	0.014	8.317E-01	Transcribed locus
SHISA4	1.01	0.014	2.523E-01	Transcribed locus
OLFR1222	1.01	0.014	2.804E-01	Olfactory receptor 1222
CARM1	1.01	0.014	9.638E-01	
APC	1.01	0.014	1.493E-01	Adenomatosis polyposis coli
EG545056	1.01	0.014	9.839E-01	
INHBA	1.01	0.014	1.819E-02	Inhibin beta-A
TAF9	1.01	0.014	8.112E-01	Transcribed locus, moderately similar to XP_001100881.1 similar to transcription associated factor
ZFP128	1.009	0.014	5.962E-01	Zinc finger protein 128
CCDC64	1.009	0.014	6.249E-01	Coiled-coil domain containing 64
DNAJB4	1.009	0.014	2.474E-01	
HIGD1A	1.009	0.014	9.055E-01	Transcribed locus
FKBPL	1.009	0.014	4.275E-01	
TMEM43	1.009	0.013	9.691E-01	Transmembrane protein 43
CASP9	1.009	0.013	9.691E-01	Caspase 9
HSF5	1.009	0.013	4.269E-02	Heat shock transcription factor family member 5
SMARCC1	1.009	0.013	2.546E-02	Transcribed locus, strongly similar to XP_001077020.1 similar to SWI/SNF-related matrix-associated
EIF3G	1.009	0.013	9.404E-01	Transcribed locus, moderately similar to XP_001104633.1 eukaryotic translation initiation factor 3,
CALY	1.009	0.013	2.469E-01	Dopamine receptor D1 interacting protein
3110049J23RIK	1.009	0.013	2.867E-02	
GPR26	1.009	0.013	8.828E-01	G protein-coupled receptor 26
UGCG	1.009	0.013	9.757E-01	UDP-glucose ceramide glucosyltransferase
ITGAV	1.009	0.013	7.210E-04	Integrin alpha V
DUX	1.009	0.013	4.676E-01	RIKEN cDNA 4933403O03 gene
EFNB2	1.009	0.013	9.005E-04	Ephrin B2
DOK5	1.009	0.013	4.603E-04	
NHEDC2	1.009	0.013	5.437E-01	
OLFR1436	1.009	0.013	7.250E-01	Olfactory receptor 1436
TMEM17	1.009	0.013	7.716E-01	
4930583H14RIK	1.009	0.013	4.683E-01	
PDE4A	1.009	0.013	5.165E-01	Phosphodiesterase 4A, cAMP specific
3300001G02RIK	1.009	0.013	9.797E-01	
NIT2	1.009	0.013	7.360E-01	
TEAD4	1.009	0.013	3.754E-01	TEA domain family member 4
SYNPO2L	1.009	0.013	4.760E-01	Synaptopodin 2-like
OLFR644	1.009	0.013	6.724E-01	Olfactory receptor 644
D830030K20RIK	1.009	0.013	5.288E-01	RIKEN cDNA D830030K20 gene
NME4	1.009	0.013	2.407E-01	
OLFR1161	1.009	0.013	3.987E-01	Olfactory receptor 1161
ZFP313	1.009	0.013	8.226E-01	
TOM1	1.009	0.013	7.465E-01	Predicted gene, EG545878
AGPAT2	1.009	0.013	7.975E-01	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
NECAB1	1.009	0.013	1.725E-03	EF hand calcium binding protein 1
AI595406	1.009	0.013	8.252E-01	
GM813	1.009	0.013	2.604E-01	
NEIL3	1.009	0.013	6.833E-01	Transcribed locus
2810403A07RIK	1.009	0.013	9.645E-01	
PCMTD1	1.009	0.013	2.252E-01	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
ZBTB7C	1.009	0.013	2.804E-04	Transcribed locus
HRASLS5	1.009	0.013	3.459E-01	HRAS-like suppressor family, member 5
WINS2	1.009	0.012	8.468E-01	
RBM11	1.009	0.012	1.879E-01	RNA binding motif protein 11
2610205E22RIK	1.009	0.012	3.049E-01	
KCNK13	1.009	0.012	9.788E-01	Potassium channel, subfamily K, member 13
MTAP1S	1.009	0.012	9.777E-01	
EPHA10	1.009	0.012	3.840E-03	Eph receptor A10
CUL2	1.009	0.012	7.465E-01	Cullin 2
ATP2C1	1.009	0.012	9.764E-01	ATPase, Ca++-sequestering
DVL1	1.009	0.012	9.698E-01	
SLC27A2	1.009	0.012	1.894E-02	Solute carrier family 27 (fatty acid transporter), member 2
YPEL1	1.009	0.012	1.037E-03	Yippee-like 1 (Drosophila)
PRX	1.009	0.012	5.243E-01	Periaxin
1190002A17RIK	1.008	0.012	7.053E-01	
WISP1	1.008	0.012	1.629E-02	WNT1 inducible signaling pathway protein 1
SCARB2	1.008	0.012	9.901E-01	
ST8SIA3	1.008	0.012	9.314E-01	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
9630050M13RIK	1.008	0.012	1.580E-01	
ARR3	1.008	0.012	3.323E-02	
LOC100047173	1.008	0.012	6.335E-02	
CHRM2	1.008	0.012	2.461E-01	Cholinergic receptor, muscarinic 2, cardiac
USP20	1.008	0.012	9.638E-01	Ubiquitin specific peptidase 20
PDE7A	1.008	0.012	5.939E-01	
SAR1B	1.008	0.012	9.744E-01	SAR1 gene homolog B (S. cerevisiae)
SORCS2	1.008	0.012	4.442E-02	Sortilin-related VPS10 domain containing receptor 2
D930001I22RIK	1.008	0.012	9.916E-01	
1700040I03RIK	1.008	0.012	4.390E-02	
C8B	1.008	0.012	1.922E-01	Complement component 8, beta subunit
DUSP22	1.008	0.012	4.858E-01	Dual specificity phosphatase 22
MESP1	1.008	0.012	4.247E-01	
SNCG	1.008	0.012	9.783E-01	
V1RC33	1.008	0.012	8.671E-01	
I830077J02RIK	1.008	0.012	1.476E-02	RIKEN cDNA I830077J02 gene
TMEM44	1.008	0.012	3.184E-02	Transmembrane protein 44
CASP7	1.008	0.012	4.252E-01	Caspase 7
LHX2	1.008	0.012	1.849E-03	LIM homeobox protein 2
RPL23	1.008	0.012	9.629E-01	
R74862	1.008	0.012	9.623E-01	
ZBTB7A	1.008	0.012	9.427E-01	Zinc finger and BTB domain containing 7a
9030612M13RIK	1.008	0.012	8.909E-01	
1500035H01RIK	1.008	0.011	7.383E-01	
CAMK1G	1.008	0.011	5.902E-03	Calcium/calmodulin-dependent protein kinase I gamma
ERAL1	1.008	0.011	9.833E-01	
B4GALT7	1.008	0.011	3.492E-01	Xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)
CCBP2	1.008	0.011	2.728E-07	
ADHFE1	1.008	0.011	5.763E-01	Alcohol dehydrogenase, iron containing, 1
NAGS	1.008	0.011	5.577E-01	N-acetylglutamate synthase
RGS6	1.008	0.011	2.090E-02	Regulator of G-protein signaling 6
RUNX2	1.008	0.011	5.381E-01	Runt related transcription factor 2
PTS	1.008	0.011	9.695E-01	
ADRB1	1.008	0.011	1.311E-02	
WASF3	1.008	0.011	4.865E-01	WAS protein family, member 3
HSD17B4	1.008	0.011	9.711E-01	Hydroxysteroid (17-beta) dehydrogenase 4
LCE1E	1.008	0.011	4.594E-01	Late cornified envelope 1E
NDUFA3	1.008	0.011	9.807E-01	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3
THRAP2	1.008	0.011	2.601E-01	
RASGRF2	1.008	0.011	6.067E-05	RAS protein-specific guanine nucleotide-releasing factor 2
DOC2A	1.008	0.011	1.472E-03	
LOC100048071	1.008	0.011	4.025E-01	
NPM3	1.008	0.011	9.520E-01	
ZFP339	1.008	0.011	1.934E-06	
PFKFB1	1.007	0.011	5.817E-01	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
GLUL	1.007	0.011	9.877E-01	Glutamate-ammonia ligase (glutamine synthetase)
PPA1	1.007	0.011	9.748E-01	
PDDC1	1.007	0.011	5.090E-01	
FHOD3	1.007	0.011	1.562E-01	Formin homology 2 domain containing 3
A030009H04RIK	1.007	0.011	5.128E-01	
GPR45	1.007	0.011	4.446E-01	G protein-coupled receptor 45
HS3ST3A1	1.007	0.011	8.377E-01	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
ITGA5	1.007	0.011	7.736E-01	
PYCR1	1.007	0.01	4.063E-01	Pyrroline-5-carboxylate reductase 1
VPS72	1.007	0.01	8.351E-01	
ATG7	1.007	0.01	9.643E-01	Autophagy-related 7 (yeast)
KTELC1	1.007	0.01	9.731E-01	
SMARCD1	1.007	0.01	4.500E-03	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
D4WSU132E	1.007	0.01	9.756E-01	
1700093K21RIK	1.007	0.01	3.410E-01	RIKEN cDNA 1700093K21 gene
HES1	1.007	0.01	6.032E-02	Hairy and enhancer of split 1 (Drosophila)
C030039L03RIK	1.007	0.01	5.825E-01	RIKEN cDNA C030039L03 gene
IGFBP7	1.007	0.01	9.901E-01	Insulin-like growth factor binding protein 7
AU022252	1.007	0.01	5.579E-01	Expressed sequence AI450326
PHC1	1.007	0.01	9.783E-01	Transcribed locus
CPA4	1.007	0.01	5.550E-01	Carboxypeptidase A4
AI931714	1.007	0.01	5.500E-01	
OLFR1157	1.007	0.01	3.687E-01	Olfactory receptor 1157
6330407J23RIK	1.007	0.01	8.881E-01	
