Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
TACC2	1.002	0.003	6.932E-01	Transforming, acidic coiled-coil containing protein 2
ECHDC3	1.002	0.003	3.229E-01	
FGA	1.002	0.003	3.130E-01	Transcribed locus, moderately similar to NP_434684.1 alpha polypeptide isoform 2 [Rattus norvegicus
HPX	1.002	0.003	5.503E-03	Hemopexin
OLFR1195	1.002	0.003	2.336E-02	Olfactory receptor 1195
KCNA4	1.002	0.003	7.150E-01	Potassium voltage-gated channel, shaker-related subfamily, member 4
SHISA4	1.002	0.003	8.231E-01	Transcribed locus
BAZ2A	1.002	0.003	6.533E-01	Bromodomain adjacent to zinc finger domain, 2A
VAX1	1.002	0.003	6.504E-01	Ventral anterior homeobox containing gene 1
PRSS27	1.002	0.003	3.387E-02	Protease, serine 27
OLFR803	1.002	0.003	6.669E-02	Olfactory receptor 803
LYZL1	1.002	0.003	6.138E-01	Lysozyme-like 1
OLFR746	1.002	0.003	4.416E-01	Olfactory receptor 746
SCN11A	1.002	0.003	1.144E-02	Sodium channel, voltage-gated, type XI, alpha
OLFR577	1.002	0.003	4.425E-01	Olfactory receptor 577
CCDC96	1.002	0.003	6.857E-01	Coiled-coil domain containing 96
PRKDC	1.002	0.003	2.710E-01	Protein kinase, DNA activated, catalytic polypeptide
ZBTB45	1.002	0.003	9.447E-01	Zinc finger and BTB domain containing 45
2410166I05RIK	1.002	0.003	2.314E-01	
STOML2	1.002	0.003	7.373E-01	Stomatin (Epb7.2)-like 2
CEACAM1	1.002	0.003	6.466E-01	CEA-related cell adhesion molecule 1
ROR1	1.002	0.003	4.416E-03	Receptor tyrosine kinase-like orphan receptor 1
BTNL2	1.002	0.003	2.950E-01	Butyrophilin-like 2
XKR7	1.002	0.003	1.669E-02	X Kell blood group precursor related family member 7 homolog
CDC20	1.002	0.003	1.801E-01	Cell division cycle 20 homolog (S. cerevisiae)
THEX1	1.002	0.003	1.088E-01	
PCDHB8	1.002	0.003	7.553E-03	Protocadherin beta 8
TBPL1	1.002	0.003	2.908E-01	Transcribed locus
PRPF40A	1.002	0.003	9.930E-01	PRP40 pre-mRNA processing factor 40 homolog A (yeast)
TGM5	1.002	0.003	3.230E-02	Transglutaminase 5
ATRX	1.002	0.003	4.773E-03	Alpha thalassemia/mental retardation syndrome X-linked homolog (human)
UST	1.002	0.003	5.665E-03	Transcribed locus
ZFP1	1.002	0.003	6.566E-01	Zinc finger protein 1
TCP11	1.002	0.003	8.072E-01	T-complex protein 11
PATZ1	1.002	0.003	4.012E-02	
SIAH2	1.002	0.003	4.790E-01	Seven in absentia 2
IKZF2	1.002	0.003	1.206E-01	IKAROS family zinc finger 2
OLFR232	1.002	0.003	2.330E-01	
MOGAT2	1.002	0.003	6.633E-01	Monoacylglycerol O-acyltransferase 2
ABPB	1.002	0.003	9.732E-02	
A230051G13RIK	1.002	0.003	8.465E-01	
TNFSF10	1.002	0.003	3.092E-01	
OLFR1390	1.002	0.003	1.190E-02	Olfactory receptor 1390
V1RD4	1.002	0.003	6.973E-01	
REX3	1.002	0.003	5.051E-02	
FEM1C	1.002	0.003	5.526E-01	Fem-1 homolog c (C.elegans)
LOC654494	1.002	0.003	1.695E-01	
EG625321	1.002	0.003	3.731E-01	
KCTD12B	1.002	0.003	3.699E-01	Potassium channel tetramerisation domain containing 12b
MYO10	1.002	0.003	2.231E-01	Myosin X
ESCO1	1.002	0.003	6.862E-01	Establishment of cohesion 1 homolog 1 (S. cerevisiae)
OLFR1437	1.002	0.003	2.869E-01	Olfactory receptor 1437
OLFR104	1.002	0.003	7.617E-01	
NDST3	1.002	0.003	6.260E-02	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
GDF15	1.002	0.003	2.400E-03	Growth differentiation factor 15
KRTAP16-5	1.002	0.003	4.732E-01	
OLFR68	1.002	0.003	4.885E-01	Olfactory receptor 68
EG665186	1.002	0.003	2.319E-01	
SLC25A5	1.002	0.003	9.900E-01	Transcribed locus
TPTE	1.002	0.003	6.019E-01	Transmembrane phosphatase with tensin homology
RBMY1A1	1.002	0.003	3.084E-01	RNA binding motif protein, Y-linked, family 1, member A1
OLFR1136	1.002	0.003	4.864E-01	Olfactory receptor 1136
TRIM6	1.002	0.003	1.213E-01	Tripartite motif protein 6
OLFR1170	1.002	0.003	4.987E-01	Olfactory receptor 1170
5430416O09Rik	1.002	0.003	4.481E-02	
RNF43	1.002	0.003	3.082E-01	Ring finger protein 43
TLOC1	1.002	0.003	2.936E-01	
2210038L17RIK	1.002	0.003	5.677E-02	
SLC36A1	1.002	0.003	1.990E-01	Solute carrier family 36 (proton/amino acid symporter), member 1
1700036D21RIK	1.002	0.003	5.543E-01	
ZFP322A	1.002	0.003	8.600E-01	Zinc finger protein 322a
DNASE1L1	1.002	0.003	3.690E-01	Deoxyribonuclease 1-like 1
INPP4A	1.002	0.003	9.349E-01	Inositol polyphosphate-4-phosphatase, type I
CR2	1.002	0.003	2.020E-01	Complement receptor 2
9130401M01RIK	1.002	0.003	7.087E-01	RIKEN cDNA 9130401M01 gene
9530015I07RIK	1.002	0.003	4.334E-01	
DISC1	1.002	0.003	4.735E-01	Disrupted in schizophrenia 1
DRD4	1.002	0.003	1.548E-02	Dopamine receptor 4
CABC1	1.002	0.003	3.464E-02	
TMPRSS2	1.002	0.003	4.833E-01	Transmembrane protease, serine 2
BC064033	1.002	0.003	2.167E-01	
C5AR1	1.002	0.003	8.416E-01	Complement component 5a receptor 1
MXRA7	1.002	0.003	1.977E-01	Matrix-remodelling associated 7
CAPZA1	1.002	0.003	3.543E-01	Similar to Capping protein (actin filament) muscle Z-line, alpha 1
GM1527	1.002	0.003	3.480E-01	Gene model 1527, (NCBI)
ZFP157	1.002	0.003	5.920E-01	Zinc finger protein 157
FBXW2	1.002	0.003	4.600E-01	Transcribed locus
RND3	1.002	0.003	8.134E-01	
YAP1	1.002	0.003	5.832E-01	Transcribed locus
SCN1B	1.002	0.003	1.202E-01	Sodium channel, voltage-gated, type I, beta
CTSM	1.002	0.003	6.857E-01	Cathepsin M
ZFP53	1.002	0.003	5.463E-01	Transcribed locus
MCM9	1.002	0.003	4.318E-01	Minichromosome maintenance complex component 9
PLXNA3	1.002	0.003	4.119E-01	Plexin A3
OLFR1216	1.002	0.003	5.832E-01	Olfactory receptor 1216
ALKBH5	1.002	0.003	3.461E-01	AlkB, alkylation repair homolog 5 (E. coli)
GSTA2	1.002	0.003	5.686E-01	
USH1G	1.002	0.003	1.390E-03	Usher syndrome 1G homolog (human)
OLFR449	1.002	0.003	7.214E-01	Olfactory receptor 449
MAMDC2	1.002	0.003	1.640E-01	MAM domain containing 2
GM1008	1.002	0.003	2.364E-02	
RAD21	1.002	0.003	4.001E-01	RAD21 homolog (S. pombe)
TRAF1	1.002	0.003	8.043E-02	
OLFR111	1.002	0.003	4.128E-01	Olfactory receptor 111
4933429F08RIK	1.002	0.003	9.958E-02	
1700052N19RIK	1.002	0.003	9.924E-01	Transcribed locus
CRYBA1	1.002	0.003	1.300E-01	
4933411G06Rik	1.002	0.003	5.632E-01	
RHOX12	1.002	0.003	4.186E-01	Reproductive homeobox 12
DNAJA3	1.002	0.003	9.905E-01	Transcribed locus, moderately similar to XP_510781.2 DnaJ (Hsp40) homolog, subfamily A, member 3 [P
SNAI1	1.002	0.003	2.505E-02	Snail homolog 1 (Drosophila)
VDR	1.002	0.003	1.367E-01	Vitamin D receptor
RFC3	1.002	0.003	2.095E-01	Transcribed locus
1700013N18RIK	1.002	0.003	9.291E-02	
PREI3	1.002	0.003	4.318E-01	
TBX19	1.002	0.003	1.906E-01	T-box 19
MUC20	1.002	0.003	2.187E-01	Mucin 20
2900010J23RIK	1.002	0.003	2.763E-02	
ZFP189	1.002	0.003	4.847E-01	Zinc finger protein 189
ZFP566	1.002	0.003	6.336E-01	Zinc finger protein 566
MSI2H	1.002	0.003	3.515E-01	
BC011487	1.002	0.003	4.371E-01	
1190003M12RIK	1.002	0.003	4.309E-01	
SRD5A1	1.002	0.003	8.921E-02	Steroid 5 alpha-reductase 1
NBEAL1	1.002	0.003	4.008E-01	Neurobeachin like 1
NDPH	1.002	0.003	4.190E-02	
2310058J06RIK	1.002	0.003	5.741E-01	
GRAMD1A	1.002	0.003	3.646E-01	
CD93	1.002	0.003	7.938E-01	Transcribed locus
POU5F1	1.002	0.003	1.458E-02	POU domain, class 5, transcription factor 1
6330549D23Rik	1.002	0.003	6.992E-02	
WDFY3	1.002	0.003	6.324E-01	WD repeat and FYVE domain containing 3
SNAP25	1.002	0.003	6.946E-01	Transcribed locus
TAS2R140	1.002	0.003	3.965E-01	Taste receptor, type 2, member 140
6030408B16Rik	1.002	0.003	7.462E-01	
PPIL5	1.002	0.003	5.018E-01	
NFATC4	1.002	0.003	4.161E-01	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
ADM2	1.002	0.003	2.021E-01	Adrenomedullin 2
OLFR70	1.002	0.003	3.916E-01	Olfactory receptor 70
SGTA	1.002	0.003	8.250E-01	Small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha
PTDSS1	1.002	0.003	6.910E-01	Transcribed locus
TSPYL4	1.002	0.003	5.364E-01	TSPY-like 4
APRT	1.002	0.003	9.898E-01	
VNN3	1.002	0.003	3.541E-01	Vanin 3
CPA2	1.002	0.003	5.322E-02	Carboxypeptidase A2, pancreatic
SMARCA4	1.002	0.003	9.343E-01	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
KDELR3	1.002	0.003	1.408E-01	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
CLDN16	1.002	0.003	6.610E-01	Claudin 16
OLFR1143	1.002	0.003	4.650E-01	Olfactory receptor 1143
PSTK	1.002	0.003	3.237E-01	Transcribed locus, weakly similar to XP_001104988.1 similar to CG12788-PA, isoform A isoform 2 [Mac
HS3ST2	1.002	0.003	7.534E-01	Heparan sulfate (glucosamine) 3-O-sulfotransferase 2
BRIP1	1.002	0.003	4.307E-01	BRCA1 interacting protein C-terminal helicase 1
GM609	1.002	0.003	2.132E-01	Gene model 609, (NCBI)
1700028P14RIK	1.002	0.003	6.597E-01	RIKEN cDNA 1700028P14 gene
GFRAL	1.002	0.003	2.629E-01	GDNF family receptor alpha like
FNDC3	1.002	0.003	3.907E-01	
PAN3	1.002	0.003	1.109E-01	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)
DCUN1D3	1.002	0.003	3.854E-01	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)
OLFR1113	1.002	0.003	3.407E-01	Olfactory receptor 1113
COL4A5	1.002	0.003	6.206E-02	Collagen, type IV, alpha 5
APOC2	1.002	0.003	1.913E-01	
CBX2	1.002	0.003	6.988E-01	Chromobox homolog 2 (Drosophila Pc class)
CPA1	1.002	0.003	1.658E-01	Carboxypeptidase A1
SERPINB3D	1.002	0.003	5.532E-01	Serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3D
LOC100040390	1.002	0.003	5.181E-01	
EG214403	1.002	0.003	8.018E-02	
ZFP28	1.002	0.003	4.285E-01	Zinc finger protein 28
BMP5	1.002	0.003	1.119E-01	Transcribed locus
NUDT21	1.002	0.003	5.291E-01	Nudix (nucleoside diphosphate linked moiety X)-type motif 21
DEAF1	1.002	0.003	8.305E-01	Transcribed locus
CKT2	1.002	0.003	3.515E-01	
IGFL3	1.002	0.003	7.373E-01	IGF-like family member 3
PDZK1	1.002	0.003	6.669E-01	
OLFR1093	1.002	0.003	5.930E-01	Olfactory receptor 1093
TIGD4	1.002	0.003	3.660E-01	Tigger transposable element derived 4
MAML1	1.002	0.003	5.418E-01	Transcribed locus
OLFR720	1.002	0.003	1.077E-01	Olfactory receptor 720
COMP	1.002	0.003	4.816E-01	Cartilage oligomeric matrix protein
OLFR568	1.002	0.003	7.220E-01	Olfactory receptor 568
COL1A2	1.002	0.003	6.353E-01	Collagen, type I, alpha 2
PCDHA10	1.002	0.003	9.672E-02	Protocadherin alpha 11
FZD6	1.002	0.003	5.224E-01	Transcribed locus
HSN2	1.002	0.003	6.218E-02	
SERPINA1E	1.002	0.003	4.581E-01	Serine (or cysteine) peptidase inhibitor, clade A, member 1e
SPTLC2	1.002	0.003	4.582E-01	
ZC3H12A	1.002	0.002	6.968E-01	Zinc finger CCCH type containing 12A
CHEK1	1.002	0.002	4.720E-01	Checkpoint kinase 1 homolog (S. pombe)
1700071K01RIK	1.002	0.002	7.089E-01	Prohibitin
2610019P18RIK	1.002	0.002	2.786E-01	
SLC22A12	1.002	0.002	2.736E-01	Solute carrier family 22 (organic anion/cation transporter), member 12
PLCE1	1.002	0.002	1.015E-01	Phospholipase C, epsilon 1
EHMT1	1.002	0.002	4.128E-01	Euchromatic histone methyltransferase 1
GJA5	1.002	0.002	5.483E-01	Gap junction membrane channel protein alpha 5
KIF5B	1.002	0.002	2.131E-02	Kinesin family member 5B
CDH12	1.002	0.002	7.030E-01	Cadherin 12
HIC1	1.002	0.002	2.738E-02	Hypermethylated in cancer 1
ACSM5	1.002	0.002	7.943E-01	RIKEN cDNA C730027J19 gene
TMEM206	1.002	0.002	1.260E-01	RIKEN cDNA 2310028N02 gene
TAS2R131	1.002	0.002	8.056E-01	Taste receptor, type 2, member 131
ADCK2	1.002	0.002	8.352E-02	AarF domain containing kinase 2
C730034F03RIK	1.002	0.002	5.240E-01	
GYLTL1B	1.002	0.002	4.913E-01	
1500001A10RIK	1.002	0.002	3.332E-01	
HIGD1C	1.002	0.002	7.134E-02	Transcribed locus
PIGY	1.002	0.002	4.631E-02	phosphatidylinositol glycan anchor biosynthesis, class Y
GIYD2	1.002	0.002	4.720E-01	
XRCC2	1.002	0.002	2.289E-01	X-ray repair complementing defective repair in Chinese hamster cells 2
SLC33A1	1.002	0.002	8.349E-02	Solute carrier family 33 (acetyl-CoA transporter), member 1
TEX24	1.002	0.002	7.126E-02	Testis expressed gene 24
1700015E13RIK	1.002	0.002	1.870E-02	
RAB43	1.002	0.002	7.360E-01	RAB43, member RAS oncogene family
OLFR1394	1.002	0.002	6.351E-02	Olfactory receptor 1394
CTSL	1.002	0.002	2.256E-01	Transcribed locus, moderately similar to XP_001086024.1 cathepsin L isoform 3 [Macaca mulatta]
SOD3	1.002	0.002	8.217E-01	Superoxide dismutase 3, extracellular
OLFR1406	1.002	0.002	5.331E-01	Olfactory receptor 1406
CDON	1.002	0.002	5.119E-01	
CCDC21	1.002	0.002	5.347E-01	
TMEM151B	1.002	0.002	1.854E-01	Gene model 323, (NCBI)
IWS1	1.002	0.002	4.760E-01	Transcribed locus, moderately similar to XP_001087787.1 similar to CG9915-PA isoform 2 [Macaca mula
EAR2	1.002	0.002	5.543E-01	
LOC574405	1.002	0.002	5.173E-01	
LRRC4	1.002	0.002	2.045E-01	Leucine rich repeat containing 4
CLDN6	1.002	0.002	7.577E-01	Claudin 6
OTTMUSG00000011275	1.002	0.002	1.842E-01	
AFMID	1.002	0.002	7.610E-01	Arylformamidase
IFI205	1.002	0.002	4.745E-01	Interferon activated gene 205
EG209380	1.002	0.002	3.486E-01	
WWTR1	1.002	0.002	1.412E-01	WW domain containing transcription regulator 1
OTC	1.002	0.002	7.304E-01	Ornithine transcarbamylase
COL9A3	1.002	0.002	4.778E-01	Collagen, type IX, alpha 3
C4BP	1.002	0.002	6.913E-02	Complement component 4 binding protein
4732473B16RIK	1.002	0.002	1.446E-02	
CRISP2	1.002	0.002	3.945E-01	Cysteine-rich secretory protein 2
THRAP3	1.002	0.002	1.767E-01	Thyroid hormone receptor associated protein 3
KCNH6	1.002	0.002	3.057E-01	
RAI1	1.002	0.002	8.471E-01	Retinoic acid induced 1
TBKBP1	1.002	0.002	3.568E-01	TBK1 binding protein 1
CHRNA3	1.002	0.002	1.694E-02	
OLFR1500	1.002	0.002	2.413E-01	Olfactory receptor 1500
GALNS	1.002	0.002	3.560E-01	Galactosamine (N-acetyl)-6-sulfate sulfatase
KRTAP12-1	1.002	0.002	5.116E-01	Keratin associated protein 12-1
GZME	1.002	0.002	5.088E-01	Granzyme E
CALM4	1.002	0.002	5.347E-01	Calmodulin 4
CDC45L	1.002	0.002	1.425E-01	
FBXO39	1.002	0.002	3.312E-01	Novel protein containing an F-box domain
LPIN3	1.002	0.002	6.660E-02	Lipin 3
0610012H03Rik	1.002	0.002	5.204E-02	
CD300E	1.002	0.002	7.800E-01	CD300e antigen
PCDH7	1.002	0.002	6.079E-01	Protocadherin 7
SH3BGRL2	1.002	0.002	6.825E-02	SH3 domain binding glutamic acid-rich protein like 2
SDCCAG1	1.002	0.002	8.760E-01	
FRAT1	1.002	0.002	1.582E-01	
DHX40	1.002	0.002	7.914E-01	DEAH (Asp-Glu-Ala-His) box polypeptide 40
EG385328	1.002	0.002	1.652E-01	
PRRX1	1.002	0.002	5.680E-02	Paired related homeobox 1
POLR2C	1.002	0.002	2.779E-01	Polymerase (RNA) II (DNA directed) polypeptide C
DNMBP	1.002	0.002	2.640E-01	Dynamin binding protein
DMRT2	1.002	0.002	1.608E-01	Doublesex and mab-3 related transcription factor 2
SFRS8	1.002	0.002	1.320E-01	
CCDC79	1.002	0.002	2.988E-01	Coiled-coil domain containing 79
RCBTB2	1.002	0.002	9.387E-01	Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
ANKRD50	1.002	0.002	5.464E-01	
NUP50	1.002	0.002	3.673E-01	Nucleoporin 50
S100A3	1.002	0.002	3.660E-01	
GTLF3B	1.002	0.002	2.441E-01	
TOMM40	1.002	0.002	2.773E-01	
2600001B17RIK	1.002	0.002	5.981E-02	
Gm1943	1.002	0.002	5.481E-01	
E130309D14RIK	1.002	0.002	6.462E-02	
WEE1	1.002	0.002	4.385E-01	Wee 1 homolog (S. pombe)
SEMA3G	1.002	0.002	4.080E-01	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G
BCAR3	1.002	0.002	2.050E-01	Transcribed locus
UTS2D	1.002	0.002	2.552E-01	
MME	1.002	0.002	6.349E-01	Membrane metallo endopeptidase
GSK3A	1.002	0.002	8.153E-01	Glycogen synthase kinase 3 alpha
FKBP6	1.002	0.002	7.499E-01	FK506 binding protein 6
COL1A1	1.002	0.002	2.680E-01	Collagen, type I, alpha 1
KLHL1	1.002	0.002	4.592E-01	Kelch-like 1 (Drosophila)
SAA2	1.002	0.002	6.351E-02	
CYP3A44	1.002	0.002	4.598E-01	Cytochrome P450, family 3, subfamily a, polypeptide 44
AMT	1.002	0.002	1.818E-01	Aminomethyltransferase
DDX19A	1.002	0.002	8.025E-01	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a
YARS	1.002	0.002	6.743E-01	Tyrosyl-tRNA synthetase
RPL22L1	1.002	0.002	7.096E-01	
RPAP3	1.002	0.002	4.067E-01	RNA polymerase II associated protein 3
OLFR658	1.002	0.002	1.708E-02	Olfactory receptor 658
KCNJ16	1.002	0.002	6.097E-01	Potassium inwardly-rectifying channel, subfamily J, member 16
PLAGL1	1.002	0.002	6.477E-01	
SPATA20	1.002	0.002	9.386E-02	Spermatogenesis associated 20
OLFR1200	1.002	0.002	6.439E-01	Olfactory receptor 1200
VWC2	1.002	0.002	5.240E-01	Von Willebrand factor C domain containing 2
ARL5B	1.002	0.002	5.493E-01	ADP-ribosylation factor-like 5B
PARS2	1.002	0.002	6.522E-01	Prolyl-tRNA synthetase (mitochondrial)(putative)
GPNMB	1.002	0.002	6.758E-01	Glycoprotein (transmembrane) nmb
UBD	1.002	0.002	1.472E-01	Ubiquitin D
LOC625480	1.002	0.002	4.490E-01	
EIF4B	1.002	0.002	2.940E-01	Eukaryotic translation initiation factor 4B
4931440B09RIK	1.002	0.002	4.877E-01	
1700003F12RIK	1.002	0.002	2.769E-01	RIKEN cDNA 1700003F12 gene
DEFB5	1.002	0.002	5.217E-02	Defensin beta 5
6230409E13RIK	1.002	0.002	1.388E-01	
MRRF	1.002	0.002	7.769E-01	Mitochondrial ribosome recycling factor
DEFB29	1.002	0.002	4.107E-02	
TNPO3	1.002	0.002	1.295E-01	Transportin 3
AGER	1.002	0.002	2.888E-01	Advanced glycosylation end product-specific receptor
OLFR610	1.002	0.002	5.394E-01	Olfactory receptor 610
EVI1	1.002	0.002	2.334E-01	
CYP2C68	1.002	0.002	2.250E-01	Cytochrome P450, family 2, subfamily c, polypeptide 68
LSM1	1.002	0.002	3.688E-02	
MRO	1.002	0.002	4.722E-01	Maestro
KAP	1.002	0.002	7.529E-01	
MESDC1	1.002	0.002	5.572E-01	Mesoderm development candidate 1
DNAJC17	1.002	0.002	6.537E-01	DnaJ (Hsp40) homolog, subfamily C, member 17
BARD1	1.002	0.002	4.737E-01	BRCA1 associated RING domain 1
TBC1D12	1.002	0.002	2.779E-01	TBC1D12: TBC1 domain family, member 12
HIST1H4I	1.002	0.002	8.703E-01	Histone cluster 1, H4i
CCDC124	1.002	0.002	7.901E-01	Coiled-coil domain containing 124
MMP1B	1.002	0.002	3.641E-01	Matrix metallopeptidase 1b (interstitial collagenase)
TRAF3IP2	1.002	0.002	1.628E-01	Traf3 interacting protein 2
BAMBI	1.002	0.002	4.668E-01	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)
2610029G23RIK	1.002	0.002	9.380E-01	
RBM15	1.002	0.002	6.291E-01	Transcribed locus
FANCI	1.002	0.002	1.584E-02	Fanconi anemia, complementation group I
ACVR1B	1.002	0.002	3.420E-01	Activin A receptor, type 1B
C1S	1.002	0.002	1.204E-01	complement component 1, s subcomponent
MS4A3	1.002	0.002	4.781E-01	
LOC100045853	1.002	0.002	4.521E-01	
TCEB2	1.002	0.002	9.906E-01	Transcribed locus, strongly similar to XP_001072065.1 similar to transcription elongation factor B
DKK4	1.002	0.002	7.670E-01	Dickkopf homolog 4 (Xenopus laevis)
PTCH1	1.002	0.002	1.622E-01	Transcribed locus
SRISNF2L	1.002	0.002	8.635E-02	
PIRA1	1.002	0.002	7.417E-01	Paired-Ig-like receptor A11
GM885	1.002	0.002	6.808E-01	
LACTB2	1.002	0.002	6.820E-01	Lactamase, beta 2
DNASE2B	1.002	0.002	3.415E-01	Deoxyribonuclease II beta
1810020G14RIK	1.002	0.002	2.125E-01	
LOC619597	1.002	0.002	2.050E-01	
BC019943	1.002	0.002	3.685E-02	
TAAR8A	1.002	0.002	1.401E-01	Trace amine-associated receptor 8A
EXOD1	1.002	0.002	6.609E-01	
NR3C1	1.001	0.002	5.412E-01	Nuclear receptor subfamily 3, group C, member 1
SOX13	1.001	0.002	3.238E-01	
WDR44	1.001	0.002	5.322E-01	WD repeat domain 44
TNFAIP8L3	1.001	0.002	5.209E-01	Tumor necrosis factor, alpha-induced protein 8-like 3
CSF3	1.001	0.002	1.847E-01	Colony stimulating factor 3 (granulocyte)
S100A16	1.001	0.002	8.061E-01	
SLAMF7	1.001	0.002	1.219E-01	SLAM family member 7
GM853	1.001	0.002	3.425E-01	Gene model 853, (NCBI)
SUGT1	1.001	0.002	6.654E-01	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
TRP73	1.001	0.002	9.120E-03	
OLFR1135	1.001	0.002	9.002E-02	Olfactory receptor 1135
EAR14	1.001	0.002	2.683E-01	Eosinophil-associated, ribonuclease A family, member 4
HS6ST3	1.001	0.002	1.486E-01	
LARP2	1.001	0.002	2.498E-01	
MAML3	1.001	0.002	3.005E-01	Mastermind like 3 (Drosophila)
RPSA	1.001	0.002	2.785E-01	Transcribed locus, strongly similar to XP_001087649.1 similar to 40S ribosomal protein SA (p40) (34
CERKL	1.001	0.002	1.255E-01	
UPK1A	1.001	0.002	5.159E-01	Uroplakin 1A
ZSCAN21	1.001	0.002	8.291E-01	Zinc finger and SCAN domain containing 21
ZFP169	1.001	0.002	6.110E-01	
AI987944	1.001	0.002	1.328E-01	Expressed sequence AI987944
LOC384806	1.001	0.002	4.757E-01	
ECHDC1	1.001	0.002	1.644E-01	Transcribed locus
CACNA1C	1.001	0.002	5.476E-01	Calcium channel, voltage-dependent, L type, alpha 1C subunit
BC016495	1.001	0.002	3.858E-01	
MUP4	1.001	0.002	4.559E-01	
KLK5	1.001	0.002	4.439E-01	Kallikrein related-peptidase 5
ASL	1.001	0.002	2.968E-01	Argininosuccinate lyase
9430077A04RIK	1.001	0.002	3.839E-01	
9930013L23Rik	1.001	0.002	1.633E-01	
GM239	1.001	0.002	8.662E-01	
OTTMUSG00000005523	1.001	0.002	1.554E-01	
HIGD1B	1.001	0.002	2.079E-01	HIG1 domain family, member 1B
SSXB5	1.001	0.002	1.606E-01	Synovial sarcoma, X member B, breakpoint 10
DEFB15	1.001	0.002	2.524E-01	Defensin beta 15
FASN	1.001	0.002	1.629E-01	Fatty acid synthase
JARID1B	1.001	0.002	5.525E-01	
DENND1B	1.001	0.002	4.955E-02	
ALOX12E	1.001	0.002	4.667E-01	Arachidonate lipoxygenase, epidermal
AQP5	1.001	0.002	5.234E-02	Aquaporin 5
MLLT10	1.001	0.002	2.706E-01	
HYDIN	1.001	0.002	1.078E-01	Hydrocephalus inducing
1700024G13RIK	1.001	0.002	2.818E-01	RIKEN cDNA 1700024G13 gene
S100A14	1.001	0.002	3.122E-01	
A130023I24RIK	1.001	0.002	2.956E-01	
2010308M01RIK	1.001	0.002	4.798E-02	
DNAJC5B	1.001	0.002	2.688E-01	DnaJ (Hsp40) homolog, subfamily C, member 5 beta
ABCA5	1.001	0.002	2.286E-01	ATP-binding cassette, sub-family A (ABC1), member 5
SLC16A3	1.001	0.002	1.854E-01	Solute carrier family 16 (monocarboxylic acid transporters), member 3
SLC35A3	1.001	0.002	6.239E-01	Transcribed locus, strongly similar to XP_001106480.1 similar to solute carrier family 35 (UDP-N-ac
RNPC3	1.001	0.002	1.907E-01	
SENP8	1.001	0.002	9.167E-01	SUMO/sentrin specific peptidase 8
EG436332	1.001	0.002	2.823E-01	
V1RC13	1.001	0.002	6.236E-01	
OLFR1013	1.001	0.002	3.027E-01	Olfactory receptor 1013
AKAP3	1.001	0.002	6.426E-02	A kinase (PRKA) anchor protein 3
LOC100047930	1.001	0.002	2.229E-01	
LCN4	1.001	0.002	3.443E-01	
PTGES	1.001	0.002	4.785E-01	Prostaglandin E synthase
2810030E01RIK	1.001	0.002	2.339E-01	
DSC3	1.001	0.002	7.390E-01	Desmocollin 3
PPP4R2	1.001	0.002	2.437E-01	Protein phosphatase 4, regulatory subunit 2
FOXP4	1.001	0.002	5.267E-01	
HTR4	1.001	0.002	4.735E-01	5 hydroxytryptamine (serotonin) receptor 4
LRP6	1.001	0.002	1.930E-01	Low density lipoprotein receptor-related protein 6
IFITM6	1.001	0.002	4.609E-01	Interferon induced transmembrane protein 6
LAMB1-1	1.001	0.002	2.334E-01	
SLFN10	1.001	0.002	4.857E-01	
4932412H11RIK	1.001	0.002	1.820E-01	
SAMD12	1.001	0.002	3.021E-01	
F2	1.001	0.002	2.932E-01	
OLFR1168	1.001	0.002	6.856E-01	Olfactory receptor 1168
NCOA3	1.001	0.002	2.242E-01	Nuclear receptor coactivator 3
PIK3C2G	1.001	0.002	9.303E-01	Phosphatidylinositol 3-kinase, C2 domain containing, gamma polypeptide
ADIPOQ	1.001	0.002	5.574E-01	Adiponectin, C1Q and collagen domain containing
CYB5D1	1.001	0.002	1.996E-01	Predicted gene, EG626571
V1RD17	1.001	0.002	5.543E-01	
5730403M16RIK	1.001	0.002	6.959E-01	
BC020535	1.001	0.002	4.011E-01	
CD200	1.001	0.002	8.200E-01	Cd200 antigen
ENSMUSG00000043661	1.001	0.002	2.720E-01	
ALDH1A2	1.001	0.002	6.192E-02	Aldehyde dehydrogenase family 1, subfamily A2
RAB11FIP4	1.001	0.002	1.768E-01	RAB11 family interacting protein 4 (class II)
